priority,year,year_slug,term,week_of_term,week_of_year,word,category,statutory,difficulty_rank,focus,origin_candidate,origin_hint,status,definition,example_sentence,origin,notes
12,2,year2,autumn,2,2,village,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A small group of houses and shops in the countryside, smaller than a town.",They live in a quiet village near the coast.,,
13,2,year2,autumn,3,3,adjust,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,To change something slightly to make it fit or work better.,Can you adjust the strap so the helmet fits properly?,,
14,2,year2,autumn,3,3,cell,rule-example,,1,"c before e, i, y for /s/",,,done,"A tiny living part that makes up all plants and animals, or a small locked room.",Every living thing is made up of millions of tiny cells.,,
15,2,year2,autumn,3,3,city,rule-example,,1,"c before e, i, y for /s/",,,done,"A large, important town with lots of buildings and people.",London is the capital city of England.,,
16,2,year2,autumn,3,3,energy,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"The power to do active things, like running, jumping or thinking.",After lunch she had loads of energy for the football match.,,
17,2,year2,autumn,3,3,giant,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"Something or someone that is extremely large, or a huge creature in stories.","In the story, the giant took one step and crossed the whole valley.",,
18,2,year2,autumn,3,3,giraffe,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,A very tall African animal with a long neck and a spotted pattern.,The giraffe stretched its neck to reach the highest leaves.,,
19,2,year2,autumn,3,3,ice,rule-example,,1,"c before e, i, y for /s/",,,done,Water that has frozen solid and become hard and cold.,The pond was covered in a thin sheet of ice.,,
20,2,year2,autumn,3,3,jacket,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A piece of clothing with sleeves that you wear over a top, open at the front.","Zip up your jacket, it's cold outside.",,
21,2,year2,autumn,3,3,jar,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"A glass or plastic container with a lid, used for storing food.",She kept biscuits in a big glass jar on the shelf.,,
22,2,year2,autumn,3,3,jog,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"To run at a slow, steady pace, often for exercise.",Dad likes to jog around the park before breakfast.,,
23,2,year2,autumn,3,3,magic,rule-example,,1,dge/ge/g/j spellings of /dʒ/,,,done,"Special powers that make impossible things seem to happen, often in stories.",The magician made the coin disappear as if by magic.,,
24,2,year2,autumn,3,3,race,rule-example,,1,"c before e, i, y for /s/",,,done,"A competition to see who is fastest, or a group of people running one.",The two friends had a race to the end of the garden.,,
25,2,year2,autumn,4,4,fancy,rule-example,,1,"c before e, i, y for /s/",,,done,"Decorated or special, not plain, or to like the idea of something.",She wore a fancy dress for the party.,,
26,2,year2,autumn,4,4,gnat,rule-example,,1,kn/gn at the start of words,,,done,A tiny flying insect that can bite.,A gnat buzzed annoyingly around her head.,,
27,2,year2,autumn,4,4,gnaw,rule-example,,1,kn/gn at the start of words,,,done,To bite or chew on something again and again.,The dog loved to gnaw on its rubber bone.,,
28,2,year2,autumn,4,4,knee,rule-example,,1,kn/gn at the start of words,,,done,The joint in the middle of your leg that lets it bend.,He grazed his knee when he fell off his bike.,,
29,2,year2,autumn,4,4,knock,rule-example,,1,kn/gn at the start of words,,,done,"To hit something, usually a door, to make a sound.",Please knock before you come into my room.,,
30,2,year2,autumn,4,4,know,rule-example,,1,kn/gn at the start of words,,,done,"To have information about something, or to be certain of it.",Do you know the way to the library?,,
31,2,year2,autumn,4,4,table,rule-example,,1,-le ending,,,done,"A piece of furniture with a flat top and legs, used for eating or working at.",We set the table before dinner.,,
32,2,year2,autumn,4,4,wrap,rule-example,,1,wr at the start of words,,,done,To cover something completely by folding paper or material around it.,Can you help me wrap this present for Grandad?,,
33,2,year2,autumn,4,4,write,rule-example,,1,wr at the start of words,,,done,To put letters or words onto paper using a pen or pencil.,Remember to write your name at the top of the page.,,
34,2,year2,autumn,4,4,written,rule-example,,1,wr at the start of words,,,done,Put into words on paper (the past form of 'write').,The instructions are written clearly on the box.,,
35,2,year2,autumn,4,4,wrong,rule-example,,1,wr at the start of words,,,done,"Not correct, or not the way something should be.",I think you've got the wrong answer for question three.,,
36,2,year2,autumn,4,4,wrote,rule-example,,1,wr at the start of words,,,done,Put words onto paper using a pen or pencil (the past tense of 'write').,She wrote a thank-you letter to her aunty.,,
37,2,year2,autumn,5,5,apple,rule-example,,1,-le ending,,,done,"A round fruit with red, green or yellow skin and crisp white flesh.",She packed an apple in her lunchbox.,,
38,2,year2,autumn,5,5,bottle,rule-example,,1,-le ending,,,done,"A container with a narrow neck, used for holding liquids.",Fill your water bottle before we go for a walk.,,
39,2,year2,autumn,5,5,camel,rule-example,,1,-el ending,,,done,A large desert animal with one or two humps on its back.,The camel can go for days without drinking water.,,
40,2,year2,autumn,5,5,little,rule-example,,1,-le ending,,,done,Small in size or amount.,A little kitten was hiding under the hedge.,,
41,2,year2,autumn,5,5,metal,rule-example,,2,-al ending,,,done,"A hard, shiny material like iron, gold or steel.",The gate was made of strong black metal.,,
42,2,year2,autumn,5,5,middle,rule-example,,1,-le ending,,,done,The point or part that is equally far from every side or end.,"Sit in the middle of the bench, please.",,
43,2,year2,autumn,5,5,pedal,rule-example,,2,-al ending,,,done,"A flat lever you press with your foot to make something move, like a bike.",Push down on the left pedal to get moving.,,
44,2,year2,autumn,5,5,squirrel,rule-example,,1,-el ending,,,done,A small furry animal with a bushy tail that climbs trees and collects nuts.,A squirrel buried an acorn at the bottom of the garden.,,
45,2,year2,autumn,5,5,tinsel,rule-example,,2,-el ending,,,done,"Shiny, sparkly string used to decorate a Christmas tree.",We wrapped silver tinsel around the tree's branches.,,
46,2,year2,autumn,5,5,towel,rule-example,,1,-el ending,,,done,"A piece of thick, soft cloth used for drying yourself.",Grab a towel before you get out of the pool.,,
47,2,year2,autumn,5,5,travel,rule-example,,1,-el ending,,,done,"To go from one place to another, often on a journey.",We travel to see our cousins every summer.,,
48,2,year2,autumn,5,5,tunnel,rule-example,,1,-el ending,,,done,"A long passage dug through or under something, like a hill or the sea.",The train disappeared into the dark tunnel.,,
49,2,year2,autumn,6,6,July,rule-example,,2,-y for /aɪ/ at the end of words,,,done,"The seventh month of the year, in the middle of summer.",Our school holidays usually start in late July.,,
50,2,year2,autumn,6,6,animal,rule-example,,2,-al ending,,,done,"A living creature that is not a plant, such as a dog, bird or fish.",Which animal would you most like to see at the zoo?,,
51,2,year2,autumn,6,6,capital,rule-example,,2,-al ending,,,done,"The main city of a country, where the government is based, or a large letter.",Paris is the capital of France.,,
52,2,year2,autumn,6,6,cry,rule-example,,2,-y for /aɪ/ at the end of words,,,done,"To let tears fall from your eyes, often because you are sad or hurt.",The baby began to cry when she dropped her toy.,,
53,2,year2,autumn,6,6,dry,rule-example,,2,-y for /aɪ/ at the end of words,,,done,Not wet — having no water or moisture.,"Bring the washing in before it starts to rain, it's still dry.",,
54,2,year2,autumn,6,6,fly,rule-example,,2,-y for /aɪ/ at the end of words,,,done,"To move through the air, like a bird or a plane.",Birds fly south for the winter.,,
55,2,year2,autumn,6,6,fossil,rule-example,,2,-il ending,,,done,"The hardened remains or shape of a very old plant or animal, preserved in rock.",We found a shell fossil pressed into the cliff face.,,
56,2,year2,autumn,6,6,hospital,rule-example,,2,-al ending,,,done,A place where doctors and nurses look after people who are ill or hurt.,We visited Grandpa in hospital after his operation.,,
57,2,year2,autumn,6,6,nostril,rule-example,,2,-il ending,,,done,One of the two openings in your nose that you breathe through.,She wrinkled her nostril at the strange smell.,,
58,2,year2,autumn,6,6,pencil,rule-example,,2,-il ending,,,done,"A thin tool with a graphite core, used for writing or drawing.",Can I borrow a pencil to finish my drawing?,,
59,2,year2,autumn,6,6,reply,rule-example,,2,-y for /aɪ/ at the end of words,,,done,"To answer someone, in speech or writing.",Please reply to the invitation by Friday.,,
60,2,year2,autumn,6,6,try,rule-example,,2,-y for /aɪ/ at the end of words,,,done,To make an attempt at doing something.,Have a go — you won't know if you can do it until you try.,,
61,2,year2,autumn,7,7,babies,rule-example,,2,adding -es to words ending in -y,,,done,More than one baby — very young children.,The nursery looks after ten babies each morning.,,
62,2,year2,autumn,7,7,carries,rule-example,,2,adding -es to words ending in -y,,,done,Moves something from one place to another by holding it.,My sister carries her school bag on both shoulders.,,
63,2,year2,autumn,7,7,copied,rule-example,,2,adding -ed/-er/-est to words ending -y,,,done,Made an exact match of something (the past tense of 'copy').,He copied the spellings neatly into his book.,,
64,2,year2,autumn,7,7,copier,rule-example,,2,adding -ed/-er/-est to words ending -y,,,done,A machine that makes copies of documents.,The office copier had run out of paper again.,,
65,2,year2,autumn,7,7,copies,rule-example,,2,adding -es to words ending in -y,,,done,"Makes exact matches of something, or more than one copy.",The teacher copies the worksheet for the whole class.,,
66,2,year2,autumn,7,7,copying,rule-example,,2,adding -ing to words ending -y (no change),,,done,Making an exact match of something.,He was copying the picture from the book carefully.,,
67,2,year2,autumn,7,7,flies,rule-example,,2,adding -es to words ending in -y,,,done,"Moves through the air, or more than one fly.","The kestrel flies high above the field, watching for mice.",,
68,2,year2,autumn,7,7,happier,rule-example,,2,adding -ed/-er/-est to words ending -y,,,done,More happy — feeling more pleased or cheerful than before.,She felt happier once her friend arrived.,,
69,2,year2,autumn,7,7,happiest,rule-example,,2,adding -ed/-er/-est to words ending -y,,,done,Most happy — the most pleased or cheerful out of everyone.,This was the happiest day of his summer holiday.,,
70,2,year2,autumn,7,7,replied,rule-example,,2,adding -ed/-er/-est to words ending -y,,,done,"Answered someone, in speech or writing (the past tense of 'reply').",She replied to the letter the very next day.,,
71,2,year2,autumn,7,7,replies,rule-example,,2,adding -es to words ending in -y,,,done,"Answers someone, in speech or writing.",He always replies to my messages really quickly.,,
72,2,year2,autumn,7,7,tries,rule-example,,2,adding -es to words ending in -y,,,done,Makes an attempt at something.,"She always tries her best, even when it's tricky.",,
73,2,year2,autumn,8,8,crying,rule-example,,2,adding -ing to words ending -y (no change),,,done,"Letting tears fall, often because of sadness or pain.",The toddler was crying because she'd lost her balloon.,,
74,2,year2,autumn,8,8,dropping,rule-example,,2,doubling the final consonant,,,done,Letting something fall from your hand.,Be careful not to keep dropping your pencil case.,,
75,2,year2,autumn,8,8,hiked,rule-example,,2,dropping -e before a vowel suffix,,,done,"Went for a long walk, often in the countryside or hills (the past tense of 'hike').",We hiked up the hill to see the view.,,
76,2,year2,autumn,8,8,hiker,rule-example,,2,dropping -e before a vowel suffix,,,done,"A person who goes for long walks, often in the countryside or hills.",The hiker stopped to rest by the stream.,,
77,2,year2,autumn,8,8,hiking,rule-example,,2,dropping -e before a vowel suffix,,,done,"Going for a long walk, often in the countryside or hills.",They spent Saturday hiking along the coastal path.,,
78,2,year2,autumn,8,8,hummed,rule-example,,2,doubling the final consonant,,,done,Made a low musical sound with your lips closed (the past tense of 'hum').,She hummed a tune while she tidied her room.,,
79,2,year2,autumn,8,8,humming,rule-example,,2,doubling the final consonant,,,done,Making a low musical sound with your lips closed.,He was humming happily while he did the washing up.,,
80,2,year2,autumn,8,8,nicer,rule-example,,2,dropping -e before a vowel suffix,,,done,More pleasant or kind than something or someone else.,This jumper is nicer than the one I tried on first.,,
81,2,year2,autumn,8,8,nicest,rule-example,,2,dropping -e before a vowel suffix,,,done,Most pleasant or kind out of everyone or everything.,That's the nicest thing anyone has said to me all week.,,
82,2,year2,autumn,8,8,patted,rule-example,,2,doubling the final consonant,,,done,Touched something gently and repeatedly with a flat hand (the past tense of 'pat').,She patted the dog gently on the head.,,
83,2,year2,autumn,8,8,patting,rule-example,,2,doubling the final consonant,,,done,Touching something gently and repeatedly with a flat hand.,He kept patting his pockets to check for his keys.,,
84,2,year2,autumn,8,8,shiny,rule-example,,2,dropping -e before a vowel suffix,,,done,"Bright and reflecting light, like polished metal or glass.",Her new shoes were bright and shiny.,,
85,2,year2,autumn,9,9,all,rule-example,,3,a before l/ll for /ɔ:/,,,done,Every one of something — the whole amount.,She ate all of her dinner tonight.,,
86,2,year2,autumn,9,9,ball,rule-example,,3,a before l/ll for /ɔ:/,,,done,A round object used for playing games and sports.,He kicked the ball into the back of the net.,,
87,2,year2,autumn,9,9,call,rule-example,,3,a before l/ll for /ɔ:/,,,done,"To speak loudly to get someone's attention, or to phone someone.",Please call me when you get home safely.,,
88,2,year2,autumn,9,9,dropped,rule-example,,2,doubling the final consonant,,,done,Let something fall from your hand (the past tense of 'drop').,He dropped his ice cream on the pavement.,,
89,2,year2,autumn,9,9,fatter,rule-example,,2,doubling the final consonant,,,done,Bigger or wider around the middle than before.,The puppy looked fatter after all those treats.,,
90,2,year2,autumn,9,9,fattest,rule-example,,2,doubling the final consonant,,,done,The biggest or widest around the middle out of everyone.,That's the fattest pumpkin in the whole patch.,,
91,2,year2,autumn,9,9,runner,rule-example,,3,doubling the final consonant,,,done,"A person who runs, especially in a race.",Every runner lined up at the starting line.,,
92,2,year2,autumn,9,9,runny,rule-example,,3,doubling the final consonant,,,done,Flowing like a liquid instead of being thick or solid.,His nose was runny because of his cold.,,
93,2,year2,autumn,9,9,sadder,rule-example,,2,doubling the final consonant,,,done,More sad — feeling more unhappy than before.,She felt sadder when her holiday came to an end.,,
94,2,year2,autumn,9,9,saddest,rule-example,,2,doubling the final consonant,,,done,Most sad — the most unhappy out of everyone or everything.,That was the saddest film I've ever watched.,,
95,2,year2,autumn,9,9,talk,rule-example,,3,a before l/ll for /ɔ:/,,,done,"To say words to someone, having a conversation.",We like to talk about our day at teatime.,,
96,2,year2,autumn,9,9,walk,rule-example,,3,a before l/ll for /ɔ:/,,,done,To move by putting one foot in front of the other.,We walk to school together every morning.,,
97,2,year2,autumn,10,10,Monday,rule-example,,3,o for /ʌ/,,,done,"The first day of the school week, straight after Sunday.",We have swimming lessons every Monday after school.,,
98,2,year2,autumn,10,10,always,rule-example,,3,a before l/ll for /ɔ:/,,,done,"Every time, without exception.",Grandma always waves until we're out of sight.,,
99,2,year2,autumn,10,10,brother,rule-example,,3,o for /ʌ/,,,done,A boy who has the same parents as you.,My brother is two years older than me.,,
100,2,year2,autumn,10,10,chimney,rule-example,,3,-ey for /i:/,,,done,"A pipe that lets smoke escape from a fire, usually through a roof.",Smoke curled up from the cottage chimney.,,
101,2,year2,autumn,10,10,donkey,rule-example,,3,-ey for /i:/,,,done,"An animal like a small horse with long ears, often used to carry loads.",We fed carrots to the donkey at the farm.,,
102,2,year2,autumn,10,10,key,rule-example,,3,-ey for /i:/,,,done,"A small metal tool used to lock or unlock something, like a door.",Don't forget your front door key.,,
103,2,year2,autumn,10,10,monkey,rule-example,,3,-ey for /i:/,,,done,A furry animal with a long tail that lives in trees and is good at climbing.,The monkey swung from branch to branch.,,
104,2,year2,autumn,10,10,mother,rule-example,,3,o for /ʌ/,,,done,A female parent.,My mother reads me a story every night.,,
105,2,year2,autumn,10,10,nothing,rule-example,,3,o for /ʌ/,,,done,Not anything at all.,There was nothing left on the plate after tea.,,
106,2,year2,autumn,10,10,other,rule-example,,3,o for /ʌ/,,,done,"A different one, not this one.","Could you pass me the other pencil, please?",,
107,2,year2,autumn,10,10,valley,rule-example,,3,-ey for /i:/,,,done,"Low land between hills or mountains, often with a river running through it.",The village sits in a green valley.,,
108,2,year2,autumn,10,10,want,rule-example,,3,a after w/qu for /ɒ/,,,done,To wish for or desire something.,Do you want an apple or a banana?,,
109,2,year2,autumn,11,11,quantity,rule-example,,3,a after w/qu for /ɒ/,,,done,An amount of something that can be counted or measured.,We need a large quantity of paper for the display.,,
110,2,year2,autumn,11,11,squash,rule-example,,3,a after w/qu for /ɒ/,,,done,"To press something flat, or a fruity drink you mix with water.",Be careful not to squash the strawberries in the bag.,,
111,2,year2,autumn,11,11,towards,rule-example,,3,ar after w for /ɔ:/,,,done,In the direction of something or someone.,The dog ran towards its owner.,,
112,2,year2,autumn,11,11,wander,rule-example,,3,a after w/qu for /ɒ/,,,done,To walk around slowly without a clear direction.,We let the dog wander around the field for a while.,,
113,2,year2,autumn,11,11,war,rule-example,,3,ar after w for /ɔ:/,,,done,Fighting between two or more countries or groups over a long time.,The museum has old photographs from the war.,,
114,2,year2,autumn,11,11,warm,rule-example,,3,ar after w for /ɔ:/,,,done,"A little bit hot — not cold, but not too hot either.","Put on a jumper, it's not very warm outside.",,
115,2,year2,autumn,11,11,watch,rule-example,,3,a after w/qu for /ɒ/,,,done,"To look at something carefully, or a device worn on your wrist to tell the time.",We sat down to watch the football match together.,,
116,2,year2,autumn,11,11,word,rule-example,,3,or after w for /ɜ:/,,,done,"A single unit of language, made of letters, that has its own meaning.",Can you think of a word that rhymes with 'cat'?,,
117,2,year2,autumn,11,11,work,rule-example,,3,or after w for /ɜ:/,,,done,"An activity you do that takes effort, especially a job.",My dad goes to work early on Mondays.,,
118,2,year2,autumn,11,11,world,rule-example,,3,or after w for /ɜ:/,,,done,"The whole planet Earth, and everything on it.",She wants to travel around the world one day.,,
119,2,year2,autumn,11,11,worm,rule-example,,3,or after w for /ɜ:/,,,done,"A long, thin creature with no legs that lives in soil.",The blackbird pulled a worm out of the lawn.,,
120,2,year2,autumn,11,11,worth,rule-example,,3,or after w for /ɜ:/,,,done,"How much something is valued at, or deserving of something.",That old coin is worth a lot of money.,,
121,2,year2,autumn,12,12,badly,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,In a poor way — not done well.,The team played badly in the first half.,,
122,2,year2,autumn,12,12,careful,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,Paying close attention so as not to make a mistake or get hurt.,Be careful when you cross the road.,,
123,2,year2,autumn,12,12,enjoyment,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,A feeling of pleasure or happiness from doing something.,Painting gives her a lot of enjoyment.,,
124,2,year2,autumn,12,12,happiness,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,A feeling of being pleased or cheerful.,Her smile was full of happiness.,,
125,2,year2,autumn,12,12,hopeless,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,"Having no hope, or very bad at doing something.",He felt hopeless when he lost his favourite toy.,,
126,2,year2,autumn,12,12,merriment,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,"Cheerful fun and laughter, especially at a celebration.",There was plenty of merriment at the school fair.,,
127,2,year2,autumn,12,12,plainness,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,"The quality of being simple or ordinary, without decoration.",I liked the plainness of the white walls in her room.,,
128,2,year2,autumn,12,12,playful,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,"Fond of games and fun, in a light-hearted way.",The playful puppy chased its own tail.,,
129,2,year2,autumn,12,12,sadness,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,A feeling of being unhappy.,There was a moment of sadness when the holiday ended.,,
130,2,year2,autumn,12,12,television,rule-example,,3,s for /ʒ/,,,done,A device with a screen used for watching programmes and films.,We watched a nature programme on the television.,,
131,2,year2,autumn,12,12,treasure,rule-example,,3,s for /ʒ/,,,done,"Valuable things, like gold, jewels or money, often hidden or buried.",The pirates buried their treasure on the island.,,
132,2,year2,autumn,12,12,usual,rule-example,,3,s for /ʒ/,,,done,"Happening or done most of the time, as normal.",We met at our usual spot by the gates.,,
133,2,year2,autumn,13,13,I'll,rule-example,,4,contractions,,,done,A short way of writing 'I will'.,I'll help you carry those bags.,,
134,2,year2,autumn,13,13,can't,rule-example,,4,contractions,,,done,A short way of writing 'cannot'.,I can't find my other shoe anywhere.,,
135,2,year2,autumn,13,13,child's,rule-example,,4,possessive apostrophe (singular nouns),,,done,Belonging to one child.,That is the child's favourite toy.,,
136,2,year2,autumn,13,13,couldn't,rule-example,,4,contractions,,,done,A short way of writing 'could not'.,She couldn't reach the top shelf.,,
137,2,year2,autumn,13,13,didn't,rule-example,,4,contractions,,,done,A short way of writing 'did not'.,He didn't hear the bell ring.,,
138,2,year2,autumn,13,13,girl's,rule-example,,4,possessive apostrophe (singular nouns),,,done,Belonging to one girl.,The girl's coat was hanging by the door.,,
139,2,year2,autumn,13,13,happily,rule-example,,4,"suffixes -ment, -ness, -ful, -less, -ly",,,done,In a cheerful or pleased way.,The children played happily in the garden all afternoon.,,
140,2,year2,autumn,13,13,hasn't,rule-example,,4,contractions,,,done,A short way of writing 'has not'.,The post hasn't arrived yet this morning.,,
141,2,year2,autumn,13,13,it's,rule-example,,4,contractions,,,done,A short way of writing 'it is' or 'it has'.,It's raining again outside.,,
142,2,year2,autumn,13,13,man's,rule-example,,4,possessive apostrophe (singular nouns),,,done,Belonging to one man.,The man's umbrella blew inside out in the wind.,,
143,2,year2,autumn,13,13,penniless,rule-example,,4,"suffixes -ment, -ness, -ful, -less, -ly",,,done,Having no money at all.,The character in the story started out penniless.,,
144,2,year2,autumn,13,13,plentiful,rule-example,,3,"suffixes -ment, -ness, -ful, -less, -ly",,,done,Available in a large amount.,Apples were plentiful in the orchard that autumn.,,
145,2,year2,autumn,14,14,cat's,rule-example,,4,possessive apostrophe (singular nouns),,,done,Belonging to one cat.,The cat's bowl was empty again.,,
146,2,year2,autumn,14,14,dog's,rule-example,,4,possessive apostrophe (singular nouns),,,done,Belonging to one dog.,The dog's lead was hanging on the hook.,,
147,2,year2,autumn,14,14,fiction,rule-example,,4,-tion ending,,,done,"Stories about made-up people and events, not things that really happened.",She loves reading fiction before bed.,,
148,2,year2,autumn,14,14,motion,rule-example,,4,-tion ending,,,done,"Movement, or the act of moving.",The swing was still in motion when we arrived.,,
149,2,year2,autumn,14,14,national,rule-example,,4,-tion ending,,,done,Belonging to or shared by a whole country.,It was shown on the national news.,,
150,2,year2,autumn,14,14,quiet,rule-example,,4,homophones,,,done,"Making very little noise, or calm and peaceful.",Please be quiet in the library.,,
151,2,year2,autumn,14,14,quite,rule-example,,4,homophones,,,done,"Fairly, or completely — used to make a word stronger or softer.","It was quite cold this morning, so wear a coat.",,
152,2,year2,autumn,14,14,section,rule-example,,4,-tion ending,,,done,"One part of something bigger, like a book or a shop.",The fruit is in the first section of the supermarket.,,
153,2,year2,autumn,14,14,station,rule-example,,4,-tion ending,,,done,A building where trains or buses stop to pick up and drop off passengers.,We waited on the platform at the train station.,,
154,2,year2,autumn,14,14,their,rule-example,,4,homophones,,,done,Belonging to them.,The children put their coats on the pegs.,,
155,2,year2,autumn,14,14,there,rule-example,,4,homophones,,,done,In or at that place.,"Put the box down over there, please.",,
156,2,year2,autumn,14,14,they're,rule-example,,4,homophones,,,done,A short way of writing 'they are'.,They're coming round for tea later.,,
157,2,year2,autumn,15,15,because,common-exception,,4,common exception words,,,done,A word you use to give the reason for something.,I put on my coat because it was raining.,,
158,2,year2,autumn,15,15,bee,rule-example,,4,homophones,,,done,A flying insect with stripes that makes honey and can sting (sounds like 'be').,A bee landed on the bright yellow flower.,,
159,2,year2,autumn,15,15,blew,rule-example,,4,homophones,,,done,Moved air out through your lips (the past tense of 'blow'; sounds like 'blue').,The wind blew the leaves across the playground.,,
160,2,year2,autumn,15,15,door,common-exception,,4,common exception words,,,done,A part of a wall that opens and closes so you can walk into or out of a room.,She knocked on the door before going in.,,
161,2,year2,autumn,15,15,find,common-exception,,4,common exception words,,,done,"To discover something you were looking for, or something you didn't know was there.",Can you help me find my missing shoe?,,
162,2,year2,autumn,15,15,floor,common-exception,,4,common exception words,,,done,The flat surface you stand and walk on inside a room.,The cat curled up asleep on the kitchen floor.,,
163,2,year2,autumn,15,15,knight,rule-example,,4,homophones,,,done,A soldier in armour from long ago who served a king or queen (sounds like 'night').,The knight rode into the castle on his horse.,,
164,2,year2,autumn,15,15,poor,common-exception,,4,common exception words,,,done,Having very little money.,The charity gave warm coats to poor families before winter.,,
165,2,year2,autumn,15,15,son,rule-example,,4,homophones,,,done,A person's male child (sounds like 'sun').,Their son just started at a new school.,,
166,2,year2,autumn,15,15,too,rule-example,,4,homophones,,,done,"As well, or more than is needed (sounds like 'to' and 'two').",Can I come too?,,
167,2,year2,autumn,15,15,two,rule-example,,4,homophones,,,done,The number 2 (sounds like 'to' and 'too').,She has two brothers and one sister.,,
168,2,year2,autumn,15,15,won,rule-example,,4,homophones,,,done,"Came first, or was successful in a game or competition (sounds like 'one').",Our team won the match on Saturday.,,
169,2,year2,spring,1,16,behind,common-exception,,4,common exception words,,,done,"At the back of something, or in the place someone or something has left.",The ball rolled behind the sofa.,,
170,2,year2,spring,1,16,both,common-exception,,5,common exception words,,,done,"The two of them together, not just one.",Both of my grandparents came to watch the school play.,,
171,2,year2,spring,1,16,child,common-exception,,4,common exception words,,,done,A young boy or girl who is not yet grown up.,Each child in the class made a birthday card.,,
172,2,year2,spring,1,16,children,common-exception,,4,common exception words,,,done,More than one child — young boys and girls.,The children lined up quietly outside the hall.,,
173,2,year2,spring,1,16,climb,common-exception,,4,common exception words,,,done,To move up (or sometimes down) something using your hands and feet.,He loves to climb the big oak tree in the park.,,
174,2,year2,spring,1,16,cold,common-exception,,5,common exception words,,,done,Having a low temperature — not warm at all.,"Wrap up warm, it's freezing cold outside today.",,
175,2,year2,spring,1,16,kind,common-exception,,4,common exception words,,,done,"Friendly, caring and generous towards other people.",It was so kind of you to share your lunch with me.,,
176,2,year2,spring,1,16,mind,common-exception,,4,common exception words,,,done,"The part of you that thinks, remembers and imagines things.",Close your eyes and picture the beach in your mind.,,
177,2,year2,spring,1,16,most,common-exception,,4,common exception words,,,done,The biggest amount or number out of a group.,Most of the class chose pizza for lunch.,,
178,2,year2,spring,1,16,old,common-exception,,5,common exception words,,,done,Having lived or existed for a long time — not new or young.,My grandad has an old photograph from his school days.,,
179,2,year2,spring,1,16,only,common-exception,,4,common exception words,,,done,"Just one, and no more than that.",She was the only person left in the playground.,,
